"","X1.vars","X1.n","X1.mean","X1.sd","X1.median","X1.trimmed","X1.mad","X1.min","X1.max","X1.range","X1.skew","X1.kurtosis","X1.se","X1.IQR"
"danceability",1,49140,0.644904350834351,0.13776373168995,0.661,0.652710292022792,0.1363992,0,0.993,0.993,-0.54827619221889,0.18153843066874,0.000621465926356309,0.187
"energy",2,49140,0.505131863451363,0.199037641878907,0.49,0.500587098087098,0.2194248,0.00465,0.997,0.99235,0.178437330217057,-0.671580967480675,0.000897878643186277,0.298
"loudness",3,49140,-9.49196583231583,3.55566627702768,-9.168,-9.29207448107448,3.5745486,-31.308,-0.46,30.848,-0.58500488543536,0.413691407757813,0.0160399650151761,4.85325
"speechiness",4,49140,0.0937860236060236,0.102292162633181,0.05185,0.0694842668905169,0.02779875,0,0.96,0.96,2.78802445229691,9.75955679477395,0.000461450142428581,0.0614
"acousticness",5,49140,0.394270808790598,0.315963911258459,0.351,0.37852777014652,0.4329192,1.22e-06,0.995,0.99499878,0.272132232811398,-1.34752485611478,0.00142534469991949,0.6043
"instrumentalness",6,49140,0.437323681595442,0.405042751776502,0.46,0.429516527106227,0.66168438,0,0.999,0.999,0.0207842033820799,-1.84119246081763,0.00182718822914301,0.8629735
"liveness",7,49140,0.12291846967847,0.0467623210344663,0.111,0.116779512617013,0.029652,0,0.308,0.308,1.29666614282836,1.67499332972935,0.000210949491595224,0.0432
"valence",8,49140,0.442958247863248,0.235269194132574,0.423,0.434372557997558,0.266868,0,1,1,0.272129673089468,-0.78831668433424,0.00106132278707263,0.361
"tempo",9,49140,117.331728490028,31.4464664292956,117.009,115.101196250509,37.613562,0,248.488,248.488,0.469237398763725,-0.562708758757825,0.141858144740866,49.67575
