"","X2.vars","X2.n","X2.mean","X2.sd","X2.median","X2.trimmed","X2.mad","X2.min","X2.max","X2.range","X2.skew","X2.kurtosis","X2.se","X2.IQR"
"danceability",1,9550,0.584481287958115,0.15743033229416,0.605,0.595487565445026,0.1497426,0,0.973,0.973,-0.64341529253214,0.294474791856823,0.00161096730481997,0.204
"energy",2,9550,0.567320449424084,0.222925978345988,0.567,0.570611780104712,0.259455,0.000592,1,0.999408,-0.102544036546621,-0.874249159091249,0.00228117705957299,0.35
"loudness",3,9550,-9.55488083769633,4.60499677356821,-8.653,-9.07012303664921,4.1764842,-37.679,5.236,42.915,-1.11776163083158,1.72942774528878,0.0471224263641793,5.8965
"speechiness",4,9550,0.112581497382199,0.131463168757736,0.056,0.0817516361256544,0.0326172,0,0.958,0.958,2.65005870911471,8.34723278477549,0.0013452481714961,0.082075
"acousticness",5,9550,0.360849996046073,0.327800407947964,0.271,0.335089410994764,0.37754409,1.12e-06,0.995,0.99499888,0.461852642446677,-1.26042815435838,0.00335434558268036,0.618575
"instrumentalness",6,9550,0.38071129075288,0.393303830596818,0.196,0.358925762655759,0.2905896,0,0.999,0.999,0.283783435970667,-1.72217364209153,0.0040246349144969,0.8259878
"liveness",7,9550,0.437001884816754,0.159022172387126,0.372,0.411835340314136,0.0904386,0.203,0.987,0.784,1.37347810912656,1.190162545287,0.00162725642971033,0.18675
"valence",8,9550,0.436795528062827,0.239679134196878,0.424,0.429784031413613,0.2772462,0,0.993,0.993,0.213759858225088,-0.841943426366505,0.00245261026393102,0.37675
"tempo",9,9550,116.709894240838,31.9643622846809,115.562,114.648705497382,37.8685692,0,244.561,244.561,0.406155644995455,-0.591722639023385,0.327087809633948,51.13225
