"","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo"
"Cluster1",0.574,0.193,-16.3555,0.0447,0.888,0.833,0.109,0.315,110.6605
"Cluster2",0.615,0.554,-7.953,0.0509,0.238,4.25e-05,0.124,0.393,117.011
"Cluster3",0.193,0.0373,-27.479,0.0427,0.957,0.919,0.108,0.0494,80.574
