"","X3.vars","X3.n","X3.mean","X3.sd","X3.median","X3.trimmed","X3.mad","X3.min","X3.max","X3.range","X3.skew","X3.kurtosis","X3.se","X3.IQR"
"danceability",1,50938,0.406078948918293,0.190237559568957,0.403,0.402984246171967,0.2268378,0,0.952,0.952,0.106271974110143,-0.899286720629351,0.000842898578640848,0.307
"energy",2,50938,0.152716241909773,0.118413359077892,0.132,0.140834574990185,0.12854142,0,0.968,0.968,0.853126431601087,0.473999189930659,0.000524662176517588,0.1768
"loudness",3,50938,-20.4392313793239,6.35748069833875,-19.559,-19.9942182960345,6.093486,-60,-2.526,57.474,-0.702845397244381,0.490638744497277,0.0281685249564187,8.376
"speechiness",4,50938,0.0519463956182025,0.0364688181201274,0.0431,0.0451857454848842,0.01008168,0,0.742,0.742,6.17971721894453,54.0368856864959,0.000161584889060903,0.0152
"acousticness",5,50938,0.890545557496957,0.159211471997343,0.952,0.927315763643502,0.0578214000000001,0,0.996,0.996,-2.71730833493858,8.47330633178965,0.000705429168424719,0.117
"instrumentalness",6,50938,0.814694222527583,0.23657552910678,0.902,0.877146741264232,0.0593040000000001,0,1,1,-2.47656063573322,5.15320954139675,0.00104821139251962,0.0990000000000001
"liveness",7,50938,0.119447165181201,0.0533711775816823,0.108,0.109262190812721,0.02031162,0,0.645,0.645,3.1262561924567,12.2393447596684,0.00023647533024456,0.027675
"valence",8,50938,0.19317463195257,0.164815049537022,0.145,0.166997715449549,0.1423296,0,1,1,1.39817831016791,1.93437947865311,0.000730257323044666,0.2124
"tempo",9,50938,105.818001531273,34.1650899808585,98.803,102.919596142521,35.3392536,0,240.947,240.947,0.579223241557233,-0.111364971099467,0.151377603083495,51.9855
