"","X3.vars","X3.n","X3.mean","X3.sd","X3.median","X3.trimmed","X3.mad","X3.min","X3.max","X3.range","X3.skew","X3.kurtosis","X3.se","X3.IQR"
"danceability",1,57006,0.221945742553415,0.113327905981786,0.193,0.210297605578213,0.088956,0,0.741,0.741,0.966834631040711,0.638656885876629,0.000474653382290268,0.135
"energy",2,57006,0.07489141822966,0.0941389775975647,0.0373,0.0563071606806122,0.048021414,0,0.999,0.999,2.36581467925606,8.75675969665383,0.000394284035647965,0.0979
"loudness",3,57006,-27.9344956495807,7.29187710521138,-27.479,-27.7163029864492,7.642803,-60,-5.589,54.411,-0.309154908679613,-0.102001177982264,0.0305407048797831,10.34775
"speechiness",4,57006,0.0460875890257166,0.0200400244057109,0.0427,0.0434812283471473,0.00726474,0,0.767,0.767,10.6570778441644,203.995592313946,8.39340079828081e-05,0.0101
"acousticness",5,57006,0.903178206353542,0.150467635901412,0.957,0.937704841468228,0.0504084,0,0.996,0.996,-3.30187150359252,12.8116755173235,0.000630206405801799,0.096
"instrumentalness",6,57006,0.86772272151984,0.174002842067769,0.919,0.907275818971188,0.0578213999999999,0,1,1,-3.37928681339426,12.1094910635844,0.000728779348740983,0.086
"liveness",7,57006,0.142525232431674,0.121458901458654,0.108,0.113133206157085,0.02060814,0,0.996,0.996,4.03675769257316,19.463710308799,0.000508708582296367,0.0283
"valence",8,57006,0.0836331394414623,0.0766255755260844,0.0494,0.0673084681840109,0.0237216,0,0.946,0.946,2.49372791433784,8.63924011488337,0.00032093232711138,0.066
"tempo",9,57006,91.4067292039434,30.3604792264308,80.574,87.8814349208437,19.392408,0,223.239,223.239,0.998562690657238,0.754597765328368,0.127159361394137,38.45725
