"","X1.vars","X1.n","X1.mean","X1.sd","X1.median","X1.trimmed","X1.mad","X1.min","X1.max","X1.range","X1.skew","X1.kurtosis","X1.se","X1.IQR"
"danceability",1,42474,0.566214524179498,0.154215946318119,0.574,0.569964008240141,0.1616034,0.0608,0.998,0.9372,-0.209111071697309,-0.348586715654349,0.000748286141159262,0.218
"energy",2,42474,0.207073736431699,0.129492028212146,0.193,0.19768690700412,0.1363992,2.03e-05,0.951,0.9509797,0.694392576106406,0.401404378489432,0.000628320821647538,0.186
"loudness",3,42474,-16.9052206290907,5.78808865225033,-16.3555,-16.5858937316068,6.1490835,-45.674,-0.46,45.214,-0.461387097852713,-0.235177570253919,0.0280849459844169,8.33675
"speechiness",4,42474,0.0595759664736074,0.050220805507592,0.0447,0.048692731018246,0.01571556,0.0225,0.668,0.6455,4.30364179105022,24.0354120114411,0.000243681238266153,0.024575
"acousticness",5,42474,0.832066334051891,0.172643739351229,0.888,0.861963419658623,0.1289862,6.52e-06,0.996,0.99599348,-1.66916676990125,3.04679559648615,0.00083770142192655,0.2
"instrumentalness",6,42474,0.600316844990112,0.390006050718413,0.833,0.630611997486757,0.1660512,0,0.994,0.994,-0.688963314813566,-1.32652671466869,0.00189238616166736,0.85445
"liveness",7,42474,0.128439266374723,0.0768260143129183,0.109,0.112554558563861,0.0192738,0.0248,0.98,0.9552,4.50809283113701,27.8796964459509,0.000372774950732222,0.0275
"valence",8,42474,0.350050169515468,0.21205390833603,0.315,0.332631253678634,0.2209074,0,1,1,0.666459517972359,-0.214654370049657,0.00102892732285406,0.31
"tempo",9,42474,113.675074469087,33.1975947697841,110.6605,111.098061889347,38.5060872,30.462,240.645,210.183,0.550645181495175,-0.335126662877498,0.161081267398947,51.80875
