"","X2.vars","X2.n","X2.mean","X2.sd","X2.median","X2.trimmed","X2.mad","X2.min","X2.max","X2.range","X2.skew","X2.kurtosis","X2.se","X2.IQR"
"danceability",1,30670,0.603270880339094,0.160130547898429,0.615,0.610462748614281,0.1601208,0.0572,0.985,0.9278,-0.434747128464677,0.0172958623719519,0.000914360174048275,0.217
"energy",2,30670,0.563020707473101,0.173037092438112,0.554,0.560926923703945,0.177912,2.02e-05,1,0.9999798,0.0848054355425772,-0.341876267554529,0.000988057731863113,0.242
"loudness",3,30670,-8.60797016628627,3.67601653283802,-7.953,-8.20053183077926,3.0348822,-38.254,1.009,39.263,-1.51094895036765,4.31214187677896,0.0209903929068058,4.1905
"speechiness",4,30670,0.110047137267688,0.128640370842088,0.0509,0.0807093006194979,0.0311346,0.0216,0.959,0.9374,2.41594220360509,6.98809914519676,0.000734548363298022,0.0918
"acousticness",5,30670,0.298300581964134,0.253949277013192,0.238,0.272780750733616,0.28139748,1.01e-06,0.996,0.99599899,0.672924028040714,-0.603245932519671,0.00145007375654832,0.4133
"instrumentalness",6,30670,0.182918361415064,0.327097268270966,4.25e-05,0.115361515511901,6.30105e-05,0,1,1,1.45909693026303,0.365875934411744,0.00186775552242952,0.165
"liveness",7,30670,0.190125839582654,0.160900525990897,0.124,0.156211505542876,0.0533736,0.0148,0.994,0.9792,2.46144855871351,6.66189280581565,0.000918756819859345,0.1191
"valence",8,30670,0.41750807208999,0.227839113595335,0.393,0.407541164003913,0.2490768,0,0.99,0.99,0.34095864758061,-0.6601131162797,0.0013009823190899,0.341
"tempo",9,30670,117.960619758722,31.3033670768564,117.011,116.096535743397,36.9197052,30.037,239.697,209.66,0.395013854211671,-0.592810842688306,0.178745108565086,49.4575
