"","X5.vars","X5.n","X5.mean","X5.sd","X5.median","X5.trimmed","X5.mad","X5.min","X5.max","X5.range","X5.skew","X5.kurtosis","X5.se","X5.IQR"
"danceability",1,32651,0.64986101497657,0.121421470571105,0.658,0.653785191991118,0.1215732,0.131,0.998,0.867,-0.338593886590519,0.10111442200133,0.000671965915999584,0.162
"energy",2,32651,0.199247949024532,0.137377806981034,0.178,0.186231702461621,0.13966092,2.03e-05,0.886,0.8859797,0.848771979277457,0.510820406884902,0.000760270843960545,0.1916
"loudness",3,32651,-17.8538342470368,5.72362603415839,-17.441,-17.5833745262433,6.026769,-43.656,-0.46,43.196,-0.416149505358614,-0.186319960277574,0.0316754655728702,8.129
"speechiness",4,32651,0.0668745398303268,0.041461276409435,0.052,0.0583778147850389,0.01986684,0.0225,0.317,0.2945,2.19694035331744,5.26598485589148,0.000229453361501355,0.0338
"acousticness",5,32651,0.817769797446326,0.200405628661724,0.892,0.85373641897324,0.140847,6.52e-06,0.996,0.99599348,-1.53298420698199,2.0404259589741,0.00110907693014875,0.237
"instrumentalness",6,32651,0.84410519181679,0.149780048789228,0.895,0.875721297040695,0.0667169999999999,0,0.997,0.997,-2.61991921661585,8.22116435312258,0.000828906841679014,0.108
"liveness",7,32651,0.122410639796637,0.0561334315095679,0.109,0.110847176601202,0.01808772,0.0267,0.472,0.4453,3.04910156929909,10.2319404119832,0.000310651423880077,0.0246
"valence",8,32651,0.427533830510551,0.215260682890521,0.408,0.417823360514529,0.2342508,0,1,1,0.349325054495601,-0.545826580283471,0.00119128718567544,0.316
"tempo",9,32651,101.06926066583,27.6137435002843,92.491,98.5098812449753,25.1982696,30.462,219.998,189.536,0.789401593979695,-0.113797412489625,0.152818890745355,40.024
