"","X6.vars","X6.n","X6.mean","X6.sd","X6.median","X6.trimmed","X6.mad","X6.min","X6.max","X6.range","X6.skew","X6.kurtosis","X6.se","X6.IQR"
"danceability",1,5783,0.349340567179665,0.206410668217894,0.296,0.33218154311649,0.2016336,0,0.954,0.954,0.636752139294712,-0.619123199588765,0.00271428560621274,0.3245
"energy",2,5783,0.354906144025592,0.260858139498272,0.289,0.328362264966501,0.2624202,2e-05,1,0.99998,0.751872765459544,-0.357927906834486,0.00343026598100133,0.3845
"loudness",3,5783,-19.2322844544354,9.17410035318976,-18.52,-18.926720769397,11.5375932,-48.059,-2.48,45.579,-0.247565806817212,-0.958545237884593,0.120638767141278,15.369
"speechiness",4,5783,0.0707770188483486,0.0612194749691405,0.0479,0.0567555003241841,0.0177912,0,0.645,0.645,3.01737774004214,11.5784852474749,0.000805031741640541,0.0339
"acousticness",5,5783,0.678850798346879,0.319998327125326,0.836,0.721151718175924,0.1912554,0,0.996,0.996,-0.94639783684037,-0.557018844301822,0.00420795524198168,0.473
"instrumentalness",6,5783,0.615687080880166,0.400722642508202,0.856,0.64704093121461,0.1675338,0,1,1,-0.681229464417899,-1.33794626767804,0.0052694742477911,0.87605
"liveness",7,5783,0.708442503890714,0.166428560326171,0.695,0.709254808731359,0.2016336,0.345,0.996,0.651,0.0665875903008678,-1.12170981597568,0.00218852373114344,0.285
"valence",8,5783,0.211750432474494,0.193542935459264,0.147,0.182195461422088,0.16026906,0,0.962,0.962,1.24922295080385,1.10316974666642,0.00254507583564762,0.2614
"tempo",9,5783,102.428003977174,32.5802776929297,95.051,100.614394856278,27.020385,0,239.475,239.475,0.447044686450926,0.0958146813644025,0.428428334406538,42.997
