"","X4.vars","X4.n","X4.mean","X4.sd","X4.median","X4.trimmed","X4.mad","X4.min","X4.max","X4.range","X4.skew","X4.kurtosis","X4.se","X4.IQR"
"danceability",1,117237,0.234232108464051,0.125359620337401,0.199,0.220049671077182,0.0934038,0,0.848,0.848,1.03697390742352,0.620301059236444,0.000366121573202606,0.148
"energy",2,117237,0.0740640159616845,0.0925038822243875,0.0363,0.0555294731903914,0.046716726,0,0.998,0.998,2.16610991186654,6.53064769672799,0.000270164083108959,0.096
"loudness",3,117237,-28.1224168479234,7.41957840545888,-27.951,-27.9849424784894,7.7376894,-60,-6.23,53.77,-0.199313148988592,-0.14786453224286,0.0216693996918258,10.44
"speechiness",4,117237,0.0459326620435528,0.0162700525486672,0.0429,0.0436191830772675,0.00726474,0,0.395,0.395,5.76017511244666,59.0116789780833,4.75178308547403e-05,0.0103
"acousticness",5,117237,0.904504352102323,0.142847733798224,0.954,0.936581932168332,0.0548561999999999,0,0.996,0.996,-3.26482793092778,12.994442284843,0.000417196836476291,0.098
"instrumentalness",6,117237,0.875563902774721,0.153166730353038,0.92,0.908203313750786,0.0578213999999999,0,1,1,-3.50989912620022,14.2060416754611,0.000447334190453214,0.086
"liveness",7,117237,0.132297562203059,0.0786998325622401,0.109,0.112496529517758,0.01986684,0,0.557,0.557,2.45456067440553,5.16290889087032,0.000229848386832361,0.0265
"valence",8,117237,0.0910096012095158,0.0859883601611034,0.0536,0.0725586921986118,0.02846592,0,0.899,0.899,2.35598029419499,6.97719599502153,0.000251135043441917,0.0766
"tempo",9,117237,96.5799822069824,34.4453421275947,83.252,92.7434787133094,24.0121896,0,240.645,240.645,0.88897471525105,0.224103494521775,0.100600040230773,50.381
