"","X3.vars","X3.n","X3.mean","X3.sd","X3.median","X3.trimmed","X3.mad","X3.min","X3.max","X3.range","X3.skew","X3.kurtosis","X3.se","X3.IQR"
"danceability",1,30721,0.501278428436574,0.143343189267321,0.502,0.50298343980144,0.14826,0.0606,0.968,0.9074,-0.0911424002964448,-0.339339522313309,0.000817823129043791,0.201
"energy",2,30721,0.28589931349891,0.130648701003251,0.285,0.283432599584978,0.1423296,0.000442,0.995,0.994558,0.198461492068457,-0.341255903989921,0.000745396624744587,0.192
"loudness",3,30721,-11.7832725497217,4.2531225163435,-11.048,-11.3866792936485,3.8977554,-40.471,-1.55,38.921,-1.00481449411402,1.53045605557547,0.0242655544522311,5.514
"speechiness",4,30721,0.0465711890888968,0.0295858513908518,0.0367,0.0396973837327583,0.00948864,0.0227,0.254,0.2313,3.24682160808037,12.1113714224315,0.000168797650474819,0.0155
"acousticness",5,30721,0.771214243416555,0.170866107363551,0.816,0.792286650120031,0.1571556,0.000702,0.996,0.995298,-1.08813915132497,0.919515433391211,0.000974851022122811,0.232
"instrumentalness",6,30721,0.0426059553618046,0.117716825573904,3.84e-05,0.00958251839809578,5.693184e-05,0,0.933,0.933,3.64460961743463,14.2443092646376,0.00067161574347572,0.00728
"liveness",7,30721,0.132526242635331,0.0674607743479467,0.111,0.117997550555397,0.0252042,0.0248,0.485,0.4602,2.29412885228968,5.18520260455162,0.000384887359120122,0.0385
"valence",8,30721,0.265683285374825,0.150762408239134,0.239,0.252445644301583,0.1467774,1e-05,0.982,0.98199,0.845709725811994,0.66659341329811,0.000860152373325317,0.2
"tempo",9,30721,112.32580062498,29.3374447059366,111.825,110.644980144037,34.1161086,32.508,239.657,207.149,0.4124998121279,-0.333384125224028,0.167380403283856,46.372
