,reducedGenre
unknown,29274
pop,15113
lo-fi,13048
uncategorized,10792
classical,7828
soundtrack,7109
instrumental,3547
jazz,2969
house,2822
sleep,2319
rap,2160
ambient,1923
indie,1716
rock,1639
background,1073
electronic,1064
country,959
r&b,872
folk,736
world,563
new age,490
christian,447
alternative,420
funk,306
punk,142
bluegrass,83
reggae,61
metal,53
meditation,53
blues,26
opera,9
lullaby,7
gospel,5
